Imputation,Classifier,Accuracy,Precision,Recall,F1_Score,Missing_Rate
Mode,Logistic Regression,0.7553333333333333,0.8118466898954704,0.6427586206896552,0.7174749807544265,0.1
Mode,Random Forest,0.774,0.773371104815864,0.7531034482758621,0.7631027253668763,0.1
KNN,Logistic Regression,0.7533333333333333,0.8198198198198198,0.6275862068965518,0.7109375,0.1
KNN,Random Forest,0.766,0.7611731843575419,0.7517241379310344,0.7564191533657183,0.1
SHD,Logistic Regression,0.44066666666666665,0.4484629294755877,0.6841379310344827,0.541780447842709,0.1
SHD,Random Forest,0.5066666666666667,0.4898236092265943,0.4979310344827586,0.493844049247606,0.1
MissForest,Logistic Regression,0.7526666666666667,0.8241758241758241,0.6206896551724138,0.7081038552321007,0.1
MissForest,Random Forest,0.7686666666666667,0.77,0.743448275862069,0.7564912280701754,0.1
MICE,Logistic Regression,0.7506666666666667,0.8162162162162162,0.6248275862068966,0.7078125,0.1
MICE,Random Forest,0.7786666666666666,0.7755960729312763,0.7627586206896552,0.7691237830319889,0.1
Mode,Logistic Regression,0.7566666666666667,0.803030303030303,0.6579310344827586,0.7232752084912812,0.2
Mode,Random Forest,0.7586666666666667,0.7503448275862069,0.7503448275862069,0.7503448275862069,0.2
KNN,Logistic Regression,0.7526666666666667,0.8365019011406845,0.6068965517241379,0.7034372501998402,0.2
KNN,Random Forest,0.7693333333333333,0.753004005340454,0.7779310344827586,0.7652645861601085,0.2
SHD,Logistic Regression,0.41,0.4078341013824885,0.4882758620689655,0.4444444444444444,0.2
SHD,Random Forest,0.47933333333333333,0.4610027855153203,0.45655172413793105,0.4587664587664588,0.2
MissForest,Logistic Regression,0.7573333333333333,0.8451242829827916,0.6096551724137931,0.7083333333333334,0.2
MissForest,Random Forest,0.764,0.7661406025824964,0.736551724137931,0.7510548523206751,0.2
MICE,Logistic Regression,0.7486666666666667,0.8234200743494424,0.6110344827586207,0.7015043547110056,0.2
MICE,Random Forest,0.7753333333333333,0.7664835164835165,0.7696551724137931,0.7680660701995871,0.2
Mode,Logistic Regression,0.7573333333333333,0.7897271268057785,0.6786206896551724,0.7299703264094956,0.3
Mode,Random Forest,0.764,0.7551581843191196,0.7572413793103449,0.756198347107438,0.3
KNN,Logistic Regression,0.75,0.844488188976378,0.5917241379310345,0.6958637469586375,0.3
KNN,Random Forest,0.756,0.739652870493992,0.7641379310344828,0.751696065128901,0.3
SHD,Logistic Regression,0.52,0.5247524752475248,0.07310344827586207,0.12832929782082325,0.3
SHD,Random Forest,0.4686666666666667,0.4452887537993921,0.40413793103448276,0.4237165582067968,0.3
MissForest,Logistic Regression,0.7466666666666667,0.8429423459244533,0.5848275862068966,0.6905537459283387,0.3
MissForest,Random Forest,0.7593333333333333,0.7541899441340782,0.7448275862068966,0.7494795281054824,0.3
MICE,Logistic Regression,0.7406666666666667,0.8099630996309963,0.6055172413793104,0.6929755327545383,0.3
MICE,Random Forest,0.774,0.7695530726256983,0.76,0.7647467036780013,0.3
Mode,Logistic Regression,0.7566666666666667,0.7719033232628398,0.7048275862068966,0.7368421052631579,0.4
Mode,Random Forest,0.764,0.7523809523809524,0.7627586206896552,0.7575342465753425,0.4
KNN,Logistic Regression,0.7386666666666667,0.8,0.6124137931034482,0.69375,0.4
KNN,Random Forest,0.764,0.7692307692307693,0.7310344827586207,0.7496463932107497,0.4
SHD,Logistic Regression,0.5193333333333333,0.5043290043290043,0.3213793103448276,0.392586352148273,0.4
SHD,Random Forest,0.4573333333333333,0.43723554301833567,0.42758620689655175,0.43235704323570434,0.4
MissForest,Logistic Regression,0.752,0.8565656565656565,0.5848275862068966,0.6950819672131148,0.4
MissForest,Random Forest,0.7546666666666667,0.7546362339514978,0.7296551724137931,0.7419354838709677,0.4
MICE,Logistic Regression,0.7433333333333333,0.8333333333333334,0.5862068965517241,0.6882591093117408,0.4
MICE,Random Forest,0.7653333333333333,0.7771173848439822,0.7213793103448276,0.748211731044349,0.4
Mode,Logistic Regression,0.728,0.6993710691823899,0.766896551724138,0.7315789473684211,0.5
Mode,Random Forest,0.75,0.7358490566037735,0.7531034482758621,0.7443762781186094,0.5
KNN,Logistic Regression,0.728,0.7908256880733945,0.5944827586206897,0.6787401574803149,0.5
KNN,Random Forest,0.73,0.7259887005649718,0.7089655172413794,0.7173761339846476,0.5
SHD,Logistic Regression,0.508,0.34146341463414637,0.019310344827586208,0.03655352480417755,0.5
SHD,Random Forest,0.4593333333333333,0.43543543543543545,0.4,0.41696621135873474,0.5
MissForest,Logistic Regression,0.7373333333333333,0.8059149722735675,0.6013793103448276,0.688783570300158,0.5
MissForest,Random Forest,0.7373333333333333,0.7542242703533026,0.6772413793103448,0.7136627906976745,0.5
MICE,Logistic Regression,0.7306666666666667,0.8407643312101911,0.5462068965517242,0.6622073578595318,0.5
MICE,Random Forest,0.7533333333333333,0.7568740955137482,0.7213793103448276,0.7387005649717514,0.5
