Imputation,Classifier,Accuracy,Precision,Recall,F1_Score,Missing_Rate
Mode,Logistic Regression,0.7726666666666666,0.7711864406779662,0.7531034482758621,0.7620376831821354,0.1
Mode,Random Forest,0.7286666666666667,0.6992481203007519,0.7696551724137931,0.7327642810242941,0.1
KNN,Logistic Regression,0.7673333333333333,0.783987915407855,0.7158620689655173,0.7483777937995674,0.1
KNN,Random Forest,0.746,0.7299465240641712,0.7531034482758621,0.7413441955193483,0.1
SHD,Logistic Regression,0.36466666666666664,0.3582089552238806,0.3972413793103448,0.37671680837148463,0.1
SHD,Random Forest,0.48933333333333334,0.4698085419734904,0.44,0.4544159544159544,0.1
MissForest,Logistic Regression,0.7706666666666667,0.7856071964017991,0.7227586206896551,0.7528735632183908,0.1
MissForest,Random Forest,0.7446666666666667,0.72265625,0.7655172413793103,0.7434695244474213,0.1
MICE,Logistic Regression,0.7686666666666667,0.7804154302670623,0.7255172413793104,0.7519656897784132,0.1
MICE,Random Forest,0.748,0.7291941875825627,0.7613793103448275,0.7449392712550608,0.1
Mode,Logistic Regression,0.7673333333333333,0.7460732984293194,0.7862068965517242,0.7656145063801209,0.2
Mode,Random Forest,0.7233333333333334,0.683649289099526,0.7958620689655173,0.7355003186743149,0.2
KNN,Logistic Regression,0.7533333333333333,0.7669172932330827,0.7034482758620689,0.7338129496402878,0.2
KNN,Random Forest,0.7446666666666667,0.7304582210242587,0.7475862068965518,0.7389229720518065,0.2
SHD,Logistic Regression,0.43066666666666664,0.43057050592034446,0.5517241379310345,0.4836759371221282,0.2
SHD,Random Forest,0.506,0.4888888888888889,0.48551724137931035,0.48719723183391006,0.2
MissForest,Logistic Regression,0.7653333333333333,0.7873651771956857,0.7048275862068966,0.7438136826783115,0.2
MissForest,Random Forest,0.742,0.7321428571428571,0.7351724137931035,0.7336545079146594,0.2
MICE,Logistic Regression,0.766,0.775811209439528,0.7255172413793104,0.7498218104062723,0.2
MICE,Random Forest,0.756,0.7415881561238223,0.76,0.7506811989100818,0.2
Mode,Logistic Regression,0.7646666666666667,0.7319201995012469,0.8096551724137931,0.7688277668631304,0.3
Mode,Random Forest,0.7026666666666667,0.6594285714285715,0.7958620689655173,0.72125,0.3
KNN,Logistic Regression,0.7546666666666667,0.7652303120356612,0.7103448275862069,0.7367668097281831,0.3
KNN,Random Forest,0.7486666666666667,0.7351351351351352,0.7503448275862069,0.7426621160409557,0.3
SHD,Logistic Regression,0.4066666666666667,0.4039580908032596,0.4786206896551724,0.43813131313131315,0.3
SHD,Random Forest,0.5066666666666667,0.4892086330935252,0.4689655172413793,0.4788732394366197,0.3
MissForest,Logistic Regression,0.7546666666666667,0.7828843106180665,0.6813793103448276,0.7286135693215339,0.3
MissForest,Random Forest,0.7433333333333333,0.728494623655914,0.7475862068965518,0.7379169503063309,0.3
MICE,Logistic Regression,0.7553333333333333,0.7616959064327485,0.7186206896551725,0.7395315826827538,0.3
MICE,Random Forest,0.754,0.7640949554896143,0.7103448275862069,0.7362401715511079,0.3
Mode,Logistic Regression,0.754,0.7094117647058824,0.8317241379310345,0.7657142857142857,0.4
Mode,Random Forest,0.6853333333333333,0.6403995560488346,0.7958620689655173,0.7097170971709718,0.4
KNN,Logistic Regression,0.7453333333333333,0.748191027496382,0.713103448275862,0.730225988700565,0.4
KNN,Random Forest,0.752,0.7482419127988749,0.7337931034482759,0.7409470752089137,0.4
SHD,Logistic Regression,0.35333333333333333,0.3684210526315789,0.4731034482758621,0.4142512077294686,0.4
SHD,Random Forest,0.4593333333333333,0.4412568306010929,0.44551724137931037,0.4433768016472203,0.4
MissForest,Logistic Regression,0.7513333333333333,0.7811501597444089,0.6744827586206896,0.7239082161361954,0.4
MissForest,Random Forest,0.742,0.7340720221606648,0.7310344827586207,0.7325501036627505,0.4
MICE,Logistic Regression,0.7393333333333333,0.7477744807121661,0.6951724137931035,0.7205146533238027,0.4
MICE,Random Forest,0.76,0.7664233576642335,0.7241379310344828,0.7446808510638298,0.4
Mode,Logistic Regression,0.7446666666666667,0.6895787139689579,0.8579310344827586,0.7645974185617701,0.5
Mode,Random Forest,0.6953333333333334,0.6462882096069869,0.8165517241379311,0.7215112736136502,0.5
KNN,Logistic Regression,0.7453333333333333,0.7398601398601399,0.7296551724137931,0.7347222222222223,0.5
KNN,Random Forest,0.7433333333333333,0.7421652421652422,0.7186206896551725,0.7302032235459005,0.5
SHD,Logistic Regression,0.404,0.41788143828960156,0.593103448275862,0.4903078677309008,0.5
SHD,Random Forest,0.494,0.4775132275132275,0.4979310344827586,0.487508440243079,0.5
MissForest,Logistic Regression,0.7466666666666667,0.7751196172248804,0.670344827586207,0.7189349112426036,0.5
MissForest,Random Forest,0.744,0.7481804949053857,0.7089655172413794,0.7280453257790368,0.5
MICE,Logistic Regression,0.756,0.7765793528505393,0.6951724137931035,0.7336244541484717,0.5
MICE,Random Forest,0.7573333333333333,0.7666174298375185,0.7158620689655173,0.7403708987161198,0.5
