Imputation,Classifier,Accuracy,Precision,Recall,F1_Score,Missing_Rate
Mode,Logistic Regression,0.7553333333333333,0.8107638888888888,0.6441379310344828,0.7179093005380477,0.1
Mode,Random Forest,0.774,0.773371104815864,0.7531034482758621,0.7631027253668763,0.1
KNN,Logistic Regression,0.752,0.8168761220825853,0.6275862068965518,0.7098283931357254,0.1
KNN,Random Forest,0.766,0.7611731843575419,0.7517241379310344,0.7564191533657183,0.1
SHD,Logistic Regression,0.458,0.4603603603603604,0.7048275862068966,0.5569482288828338,0.1
SHD,Random Forest,0.5066666666666667,0.4898236092265943,0.4979310344827586,0.493844049247606,0.1
MissForest,Logistic Regression,0.7553333333333333,0.8290441176470589,0.6220689655172413,0.710795902285264,0.1
MissForest,Random Forest,0.7686666666666667,0.77,0.743448275862069,0.7564912280701754,0.1
MICE,Logistic Regression,0.7513333333333333,0.8176895306859205,0.6248275862068966,0.7083659108678655,0.1
MICE,Random Forest,0.7786666666666666,0.7755960729312763,0.7627586206896552,0.7691237830319889,0.1
Mode,Logistic Regression,0.758,0.8047138047138047,0.6593103448275862,0.7247915087187263,0.2
Mode,Random Forest,0.7586666666666667,0.7503448275862069,0.7503448275862069,0.7503448275862069,0.2
KNN,Logistic Regression,0.7526666666666667,0.8365019011406845,0.6068965517241379,0.7034372501998402,0.2
KNN,Random Forest,0.7693333333333333,0.753004005340454,0.7779310344827586,0.7652645861601085,0.2
SHD,Logistic Regression,0.4066666666666667,0.4052812858783008,0.4868965517241379,0.4423558897243108,0.2
SHD,Random Forest,0.47933333333333333,0.4610027855153203,0.45655172413793105,0.4587664587664588,0.2
MissForest,Logistic Regression,0.7546666666666667,0.84,0.6082758620689656,0.7056,0.2
MissForest,Random Forest,0.764,0.7661406025824964,0.736551724137931,0.7510548523206751,0.2
MICE,Logistic Regression,0.7493333333333333,0.8237476808905381,0.6124137931034482,0.7025316455696202,0.2
MICE,Random Forest,0.7753333333333333,0.7664835164835165,0.7696551724137931,0.7680660701995871,0.2
Mode,Logistic Regression,0.758,0.7863924050632911,0.6855172413793104,0.7324981577008106,0.3
Mode,Random Forest,0.764,0.7551581843191196,0.7572413793103449,0.756198347107438,0.3
KNN,Logistic Regression,0.7473333333333333,0.837890625,0.5917241379310345,0.6936135812449474,0.3
KNN,Random Forest,0.756,0.739652870493992,0.7641379310344828,0.751696065128901,0.3
SHD,Logistic Regression,0.5233333333333333,0.55,0.07586206896551724,0.13333333333333333,0.3
SHD,Random Forest,0.4686666666666667,0.4452887537993921,0.40413793103448276,0.4237165582067968,0.3
MissForest,Logistic Regression,0.7466666666666667,0.8349514563106796,0.593103448275862,0.6935483870967742,0.3
MissForest,Random Forest,0.7593333333333333,0.7541899441340782,0.7448275862068966,0.7494795281054824,0.3
MICE,Logistic Regression,0.7426666666666667,0.8144712430426716,0.6055172413793104,0.694620253164557,0.3
MICE,Random Forest,0.774,0.7695530726256983,0.76,0.7647467036780013,0.3
Mode,Logistic Regression,0.7573333333333333,0.7781201848998459,0.696551724137931,0.735080058224163,0.4
Mode,Random Forest,0.764,0.7523809523809524,0.7627586206896552,0.7575342465753425,0.4
KNN,Logistic Regression,0.736,0.8029465930018416,0.6013793103448276,0.6876971608832808,0.4
KNN,Random Forest,0.764,0.7692307692307693,0.7310344827586207,0.7496463932107497,0.4
SHD,Logistic Regression,0.5206666666666667,0.5063291139240507,0.3310344827586207,0.40033361134278567,0.4
SHD,Random Forest,0.4573333333333333,0.43723554301833567,0.42758620689655175,0.43235704323570434,0.4
MissForest,Logistic Regression,0.7486666666666667,0.8452380952380952,0.5875862068965517,0.6932465419039869,0.4
MissForest,Random Forest,0.7546666666666667,0.7546362339514978,0.7296551724137931,0.7419354838709677,0.4
MICE,Logistic Regression,0.7433333333333333,0.8333333333333334,0.5862068965517241,0.6882591093117408,0.4
MICE,Random Forest,0.7653333333333333,0.7771173848439822,0.7213793103448276,0.748211731044349,0.4
Mode,Logistic Regression,0.746,0.7408963585434174,0.7296551724137931,0.7352328005559416,0.5
Mode,Random Forest,0.75,0.7358490566037735,0.7531034482758621,0.7443762781186094,0.5
KNN,Logistic Regression,0.7133333333333334,0.7530017152658662,0.6055172413793104,0.6712538226299695,0.5
KNN,Random Forest,0.73,0.7259887005649718,0.7089655172413794,0.7173761339846476,0.5
SHD,Logistic Regression,0.5133333333333333,0.42857142857142855,0.020689655172413793,0.039473684210526314,0.5
SHD,Random Forest,0.4593333333333333,0.43543543543543545,0.4,0.41696621135873474,0.5
MissForest,Logistic Regression,0.7453333333333333,0.859538784067086,0.5655172413793104,0.6821963394342762,0.5
MissForest,Random Forest,0.7373333333333333,0.7542242703533026,0.6772413793103448,0.7136627906976745,0.5
MICE,Logistic Regression,0.732,0.8428874734607219,0.5475862068965517,0.6638795986622074,0.5
MICE,Random Forest,0.7533333333333333,0.7568740955137482,0.7213793103448276,0.7387005649717514,0.5
